months_as_customer,age,policy number,policy deductable,premium,umbrella limit,zip code,capital gains,capital loss,incident hour of day,number of vehicle involved,bodily injuries,number of witnesses,total claim amount,injury claim,property claim,vehicle claim,car date,fraud?
228,42,342868,2000,1197,5000000,468176,0,0,8,1,0,0,5070,780,780,3510,2007,1
134,29,687698,2000,1413,5000000,430632,35100,0,7,3,2,3,34650,7700,3850,23100,2007,0
256,41,227811,2000,1416,6000000,608117,48900,-62400,5,1,1,2,63400,6340,6340,50720,2014,1
228,44,367455,1000,1584,6000000,610706,66000,-46000,20,1,0,1,6500,1300,650,4550,2009,0
256,39,104594,1000,1351,0,478456,0,0,19,3,0,2,64100,6410,6410,51280,2003,1
137,34,413978,1000,1333,0,441716,0,-77000,0,3,0,0,78650,21450,7150,50050,2012,0
165,37,429027,1000,1137,0,603195,0,0,23,3,2,2,51590,9380,9380,32830,2015,0
27,33,485665,500,1443,0,601734,0,0,21,1,1,1,27700,2770,2770,22160,2012,0
212,42,636550,500,1316,0,600983,0,-39300,14,1,2,1,42300,4700,4700,32900,1996,0
235,42,543610,500,1253,4000000,462283,38400,0,22,1,2,2,87010,7910,15820,63280,2002,0
447,61,214618,2000,1137,0,615561,0,-51000,21,3,1,2,114920,17680,17680,79560,2006,0
60,23,842643,500,1215,3000000,432220,0,0,9,1,1,0,56520,4710,9420,42390,2000,0
121,34,626808,1000,937,0,464652,52800,-32800,5,1,1,1,7280,1120,1120,5040,2010,0
180,38,644081,2000,1301,0,476685,41300,-55500,12,1,0,2,46200,4200,8400,33600,2003,1
473,58,892874,2000,1131,0,458733,55700,0,12,4,0,0,63120,10520,10520,42080,1999,1
70,26,558938,1000,1199,5000000,619884,63600,0,0,3,1,2,52110,5790,5790,40530,2012,0
140,31,275265,500,709,6000000,470610,53500,0,9,1,0,2,77880,14160,7080,56640,2015,0
160,37,921202,500,1374,0,472135,45500,-37800,19,1,1,0,72930,6630,13260,53040,2015,0
196,39,143972,2000,1476,0,477670,57000,-27300,8,3,2,0,60400,6040,6040,48320,2014,0
460,62,183430,1000,1188,4000000,618845,0,0,20,3,1,0,47160,0,5240,41920,2011,0
217,41,431876,2000,875,0,442479,46700,0,15,3,1,2,37840,0,4730,33110,1996,0
370,55,285496,2000,972,0,443920,72700,-68200,20,3,0,0,71520,17880,5960,47680,2000,1
413,55,115399,2000,1269,0,453148,0,-31000,15,1,2,2,98160,8180,16360,73620,2011,1
237,40,736882,1000,883,0,434733,0,-53500,6,1,1,3,77880,7080,14160,56640,2005,0
8,35,699044,2000,1267,0,613982,0,0,16,3,1,3,71500,16500,11000,44000,2006,1
257,43,863236,2000,1322,0,436984,0,-29200,4,1,1,3,9020,1640,820,6560,2005,0
202,34,608513,500,848,3000000,607730,31000,-30200,5,1,2,1,5720,1040,520,4160,2003,1
224,40,914088,2000,1292,0,609837,0,-55600,21,1,1,0,69840,7760,15520,46560,2009,0
241,45,596785,2000,1105,0,432211,0,0,5,1,2,2,91650,14100,14100,63450,2011,0
64,25,908616,1000,954,0,473328,53200,0,22,4,0,0,75600,12600,12600,50400,2005,0
166,37,666333,2000,1337,8000000,610393,27500,0,10,3,2,2,67140,7460,7460,52220,2006,1
155,35,336614,1000,1088,0,614780,81100,0,16,3,2,3,29790,3310,3310,23170,2008,0
114,30,584859,1000,1558,0,472248,51400,-64000,1,3,1,2,77110,14020,14020,49070,2015,0
149,37,990493,500,1416,0,603381,0,0,17,1,0,1,64800,10800,5400,48600,1999,0
147,33,129872,1000,1334,6000000,479224,53300,-49200,15,1,2,0,53100,10620,5310,37170,1995,1
62,28,200152,1000,988,0,430141,0,0,3,1,1,1,60200,6020,6020,48160,2004,1
289,49,933293,2000,1222,0,620757,0,0,16,1,1,1,5330,1230,820,3280,2001,0
431,54,485664,2000,1156,0,615901,65700,0,4,3,2,0,62300,12460,6230,43610,2007,0
